70353	-29.69	18.413	1.6743	676.15	-5.4993	0.1735	936.33	4.7111	-14.747	-13.389
72334	-21.866	6.8514	1.7102	668.9	-3.3981	0.17804	938.48	4.6866	-12.582	-13.116
74345	-28.182	16.798	1.6833	675	-5.1076	0.17486	935.62	4.6887	-14.398	-13.363
76332	-17.944	-6.4247	1.7248	673.38	-2.269	0.17427	941.44	4.782	-11.473	-13.239
82350	-28.575	17.708	1.6811	666.71	-5.5988	0.17291	936.71	4.7178	-14.858	-13.497
84339	-22.723	8.5665	1.7331	683.31	-3.594	0.17363	940.6	4.7522	-12.956	-13.295
86340	-26.247	13.431	1.6949	666.21	-4.624	0.1741	937.36	4.6994	-13.556	-13.141
88331	-20.706	4.031	1.7076	676.52	-3.0302	0.17264	941.12	4.7543	-12.205	-12.733
90338	-26.173	14.415	1.6982	683.44	-4.7166	0.17243	937.88	4.7436	-13.738	-13.088
92332	-21.011	5.0194	1.7004	674.83	-3.2267	0.17272	940.75	4.766	-12.359	-13.092
94348	-30.516	19.346	1.6825	665.44	-5.9897	0.17289	936.61	4.7111	-15	-13.423
96325	-14.125	-8.7841	1.7772	676.3	-1.7154	0.17184	946.15	4.83	-10.568	-12.763
10350	-29.609	18.027	1.669	679.84	-5.4532	0.17209	937.89	4.7052	-14.643	-13.154
12333	-21.855	7.6066	1.7372	671.24	-3.4713	0.17378	940.36	4.7513	-12.547	-12.973
14344	-27.579	15.687	1.6972	673.85	-4.9273	0.17386	938.3	4.6987	-14.069	-13.187
16330	-19.078	-1.2089	1.7429	675.58	-2.7439	0.17302	942.74	4.7741	-11.87	-13.097
18374	-35.359	24.31	1.6806	670.79	-8.1094	0.17372	935.17	4.6796	-16.948	-14.545
20318	-12.344	-10.069	1.8032	662.84	-1.6017	0.17615	946.56	4.7996	-10.196	-12.477
22351	-29.886	18.594	1.6703	672.78	-5.7157	0.17235	937.51	4.7012	-14.994	-13.51
24334	-17.439	-5.097	1.7653	662.63	-2.302	0.17265	944.78	4.8006	-11.166	-12.884
34354	-29.183	17.579	1.681	683.53	-5.1811	0.17188	939.24	4.712	-14.61	-13.268
36329	-19.209	0.84472	1.7234	665.56	-2.7099	0.1736	941.68	4.7479	-11.862	-12.928
38371	-35.525	24.418	1.6717	668.57	-7.854	0.17279	935.93	4.6845	-17.058	-14.289
40323	-11.129	-9.5411	1.8165	673.1	-1.5551	0.17516	949.09	4.8363	-10.117	-12.57
42348	-27.885	16.837	1.6656	680.33	-5.5234	0.17535	935.21	4.6785	-14.411	-13.222
44324	-16.594	-4.4692	1.7565	669.8	-2.1471	0.17292	943.18	4.7746	-11.141	-12.525
46351	-30.583	19.671	1.6966	672.03	-6.1351	0.17058	938.18	4.7044	-15.269	-13.519
48326	-18.018	-3.199	1.7888	674.1	-2.4262	0.1748	943.88	4.7804	-11.363	-12.937
50351	-28.111	17.584	1.6538	678.18	-5.3302	0.17268	936.16	4.6994	-14.407	-13.227
52332	-21.697	6.723	1.6836	679.21	-3.5269	0.17224	942.74	4.7887	-12.418	-13.125
54336	-23.458	10.174	1.6932	671.15	-3.8471	0.17426	937.08	4.7046	-13.233	-13.354
56342	-27.224	15.054	1.6694	673.37	-4.8358	0.17527	935.54	4.6649	-14.152	-13.462
