22	0.12946	19	53	6897	205.86	6919	26.651	6873	692.92
22	0.16442	16	44	10092	213.49	10114	35.102	10071	693.01
22	0.19838	23	36	6494	206.09	6516	40.884	6472	699.78
22	0.25681	18	3	11753	205.96	11775	52.893	11718	700.23
22	0.49622	16	18	6461	248.51	6483	123.32	6423	699.3
23	0.0099888	21	5	6169	218.95	6192	2.187	6134	683.93
23	0.020578	25	15	14050	237.63	14073	4.89	14021	698.3
23	0.037955	16	7	5206	251.75	5229	9.555	5186	697.77
23	0.046447	20	44	13379	214.78	13402	9.976	13346	693.22
23	0.051191	18	8	11073	233.05	11096	11.93	11050	697.25
23	0.052443	25	48	10436	205.35	10459	10.769	10403	695.88
23	0.057016	22	21	8088	212.43	8111	12.112	8047	691.59
23	0.059934	17	12	11049	222.58	11072	13.34	11031	691.59
23	0.066	24	52	6625	208.41	6648	13.755	6592	688.29
23	0.07105	18	44	5430	200.82	5453	14.268	5393	695.31
23	0.086996	24	60	10751	213.46	10774	18.57	10724	696.61
23	0.11259	24	24	4914	206.2	4937	23.215	4884	689.54
23	0.11509	23	59	14541	217.66	14564	25.051	14520	696.98
23	0.12272	23	8	7294	208.94	7317	25.642	7268	685.94
23	0.13649	21	55	12817	201.76	12840	27.537	12787	684.64
23	0.16303	18	11	10026	204.87	10049	33.399	10001	693.74
23	0.21727	19	62	14563	232.84	14586	50.588	14531	715.63
23	0.23024	19	53	13736	237.05	13759	54.577	13697	700.73
23	0.44143	22	44	10319	204.25	10342	90.163	10252	666.21
23	0.47271	22	36	7877	223.18	7900	105.5	7855	695.36
24	0.0090243	23	15	12400	208.77	12424	1.884	12380	685.63
24	0.0099339	25	37	10803	201.84	10827	2.005	10772	684.77
24	0.015862	20	40	4424	229.42	4448	3.639	4396	690.85
24	0.018627	17	16	5353	238.52	5377	4.443	5327	694.41
24	0.01976	23	34	9841	226.93	9865	4.484	9805	701.88
24	0.023225	22	59	10417	203.4	10441	4.724	10388	710.08
24	0.062014	16	55	14115	236.74	14139	14.681	14080	697.66
24	0.069432	18	15	13999	218.34	14023	15.16	13951	691.53
24	0.070313	21	4	7455	200.19	7479	14.076	7415	684.64
24	0.071509	17	19	8423	208.12	8447	14.882	8405	700.4
24	0.076435	18	36	5243	220.07	5267	16.821	5197	696.47
24	0.080804	19	52	9676	221.23	9700	17.876	9650	696.75
24	0.10403	19	19	13417	227.68	13441	23.686	13398	697.73
24	0.11607	17	8	7120	201.92	7144	23.438	7093	685.4
24	0.13835	23	13	12610	208.56	12634	28.855	12586	685.06
24	0.163	20	19	7241	212.73	7265	34.674	7217	692.28
25	0.034887	21	19	6758	250.26	6783	8.731	6731	685.65
25	0.03527	23	13	8561	220.59	8586	7.78	8533	684.11
25	0.046098	18	37	11948	208.27	11973	9.601	11915	686.8
25	0.047598	17	42	14099	217.44	14124	10.35	14065	691.75
25	0.051061	17	57	10604	250.07	10629	12.769	10583	691.96
25	0.051483	25	45	14360	207.91	14385	10.704	14340	690.63
25	0.062753	16	24	10242	237.38	10267	14.896	10223	687.55
25	0.0677	18	43	11518	211.98	11543	14.351	11487	697.92
25	0.086017	21	58	4683	209.38	4708	18.01	4652	684.11
25	0.090207	20	59	14904	202.49	14929	18.266	14878	700.34
25	0.096547	16	26	8631	228.79	8656	22.089	8606	708.78
25	0.097502	23	33	6642	215.21	6667	20.983	6620	699.7
25	0.10511	21	46	13150	206.03	13175	21.656	13118	697.02
25	0.1119	21	32	4167	203.94	4192	22.822	4139	697.75
25	0.11961	23	3	14957	205.36	14982	24.563	14912	688.64
25	0.1517	21	34	7779	229.85	7804	34.868	7757	692.22
26	0.019917	17	49	14147	206.86	14173	4.12	14115	692.63
26	0.028989	16	32	12154	245.47	12180	7.116	12106	689.87
26	0.049901	21	40	5162	203.96	5188	10.178	5136	680.19
26	0.07408	20	35	8613	229.24	8639	16.982	8598	690.84
