48	0	512.78	0.32178	0	0	0	84	0	0.22463	0.036633	27.159	0.14313	0
49	0	516.83	0.29713	0	0	0.047619	83.952	0	0.21797	0.029733	26.797	0.085465	0
50	0	520.83	0.28208	0	0	0.095238	83.905	0	0.21247	0.025143	26.435	0.058394	0
51	0	524.77	0.27163	0	0	0.047619	83.952	0	0.20775	0.021966	26.074	0.044568	0
52	0	528.66	0.26359	0	0	0.047619	83.952	0	0.20358	0.019674	25.713	0.036828	0
53	0	532.5	0.25694	0	0	0.047619	83.952	0	0.19983	0.017948	25.352	0.032045	0
54	0	536.28	0.25114	0	0	0.047619	83.952	0	0.19639	0.016594	24.991	0.028795	0
55	0	540.01	0.24593	0	0	0.047619	83.952	0	0.19321	0.015491	24.63	0.026398	0
56	0	543.69	0.24114	0	0	0.095238	83.905	0	0.19023	0.014564	24.27	0.024511	0
57	0	547.31	0.23669	0	0	0.095238	83.905	0	0.18742	0.013765	23.91	0.022951	0
58	0	550.88	0.23251	0	0	0.095238	83.905	0	0.18477	0.013063	23.551	0.021614	0
59	0	554.4	0.22856	0	0	0.095238	83.905	0	0.18226	0.012435	23.194	0.02044	0
60	0	557.87	0.22483	0	0	0.095238	83.905	0	0.17987	0.011868	22.837	0.01939	0
61	0	561.28	0.22127	0	0	0.095238	83.905	0	0.17758	0.01135	22.481	0.018438	0
62	0	564.64	0.21789	0	0	0.095238	83.905	0	0.1754	0.010875	22.127	0.017567	0
63	0	567.96	0.21466	0	0	0.095238	83.905	0	0.17332	0.010435	21.774	0.016764	0
64	0	571.21	0.21157	0	0	0.095238	83.905	0	0.17132	0.010027	21.424	0.016021	0
65	0	574.42	0.20861	0	0	0.19048	83.81	0	0.1694	0.0096449	21.075	0.015329	0
66	0	577.58	0.20578	0	0	0.19048	83.81	0	0.16755	0.0092859	20.728	0.014683	0
67	0	580.68	0.20307	0	0	0.2381	83.762	0	0.16578	0.0089467	20.384	0.014076	0
68	0	583.74	0.20046	0	0	0.2381	83.762	0	0.16408	0.0086245	20.042	0.013504	0
69	0	586.74	0.19796	0	0	0.2381	83.762	0	0.16245	0.0083175	19.702	0.012965	0
70	0	589.7	0.19555	0	0	0.2381	83.762	0	0.16087	0.0080249	19.366	0.012454	0
71	0	592.61	0.19324	0	0	0.19048	83.81	0	0.15935	0.0077472	19.031	0.011971	0
72	0	595.46	0.19101	0	0	0.28571	83.714	0	0.15789	0.0074835	18.7	0.011513	0
73	0	598.27	0.18887	0	0	0.28571	83.714	0	0.15647	0.0072333	18.371	0.01108	0
74	0	601.03	0.1868	0	0	0.28571	83.714	0	0.15511	0.0069964	18.046	0.01067	0
75	0	603.75	0.18481	0	0	0.33333	83.667	0	0.15379	0.0067719	17.723	0.010281	0
76	0	606.41	0.18288	0	0	0.33333	83.667	0	0.15251	0.0065592	17.404	0.009913	0
77	0	609.03	0.18102	0	0	0.38095	83.619	0	0.15127	0.0063572	17.088	0.0095637	0
78	0	611.61	0.17922	0	0	0.38095	83.619	0	0.15007	0.0061653	16.775	0.0092324	0
79	0	614.13	0.17748	0	0	0.38095	83.619	0	0.14891	0.0059828	16.465	0.0089177	0
80	0	616.61	0.1758	0	0	0.38095	83.619	0	0.14779	0.0058087	16.158	0.0086183	0
81	0	619.05	0.17418	0	0	0.38095	83.619	0	0.1467	0.0056426	15.855	0.0083333	0
82	0	621.44	0.17261	0	0	0.42857	83.571	0	0.14564	0.0054837	15.556	0.0080616	0
83	0	623.79	0.17108	0	0	0.42857	83.571	0	0.14462	0.0053316	15.26	0.0078025	0
84	0	626.1	0.16961	0	0	0.47619	83.524	0	0.14363	0.0051861	14.968	0.0075553	0
85	0	628.36	0.16818	0	0	0.52381	83.476	0	0.14266	0.0050467	14.68	0.007319	0
86	0	630.58	0.16679	0	0	0.52381	83.476	0	0.14173	0.0049132	14.395	0.0070935	0
87	0	632.76	0.16545	0	0	0.52381	83.476	0	0.14082	0.0047852	14.114	0.0068775	0
88	0	634.9	0.16415	0	0	0.52381	83.476	0	0.13994	0.0046623	13.837	0.006671	0
89	0	636.99	0.16288	0	0	0.52381	83.476	0	0.13908	0.0045442	13.564	0.0064732	0
90	0	639.05	0.16165	0	0	0.52381	83.476	0	0.13824	0.0044309	13.294	0.0062839	0
91	0	641.07	0.16046	0	0	0.52381	83.476	0	0.13743	0.0043217	13.029	0.0061026	0
92	0	643.05	0.1593	0	0	0.52381	83.476	0	0.13663	0.0042168	12.767	0.0059285	0
93	0	644.99	0.15817	0	0	0.57143	83.429	0	0.13586	0.0041157	12.509	0.0057615	0
94	0	646.89	0.15708	0	0	0.57143	83.429	0	0.13511	0.0040181	12.256	0.0056011	0
95	0	648.75	0.15601	0	0	0.57143	83.429	0	0.13438	0.0039243	12.006	0.005447	0
96	0	650.58	0.15497	0	0	0.61905	83.381	0	0.13366	0.0038337	11.76	0.0052988	0
97	0	652.37	0.15396	0	0	0.61905	83.381	0	0.13297	0.0037461	11.518	0.0051563	0
98	0	654.13	0.15298	0	0	0.61905	83.381	0	0.13229	0.0036617	11.28	0.0050194	0
99	0	655.85	0.15203	0	0	0.61905	83.381	0	0.13163	0.0035799	11.046	0.0048873	0
100	0	657.54	0.1511	0	0	0.66667	83.333	0	0.13098	0.0035007	10.816	0.0047602	0
101	0	659.19	0.15019	0	0	0.66667	83.333	0	0.13035	0.0034242	10.59	0.0046375	0
102	0	660.81	0.14931	0	0	0.66667	83.333	0	0.12974	0.0033493	10.367	0.0045193	0
103	0	662.4	0.14844	0	0	0.66667	83.333	0	0.12914	0.003276	10.149	0.0044048	0
104	0	663.96	0.14761	0	0	0.71429	83.286	0	0.12856	0.0032037	9.9343	0.0042938	0
105	0	665.48	0.14679	0	0	0.71429	83.286	0	0.12799	0.0031329	9.7238	0.004186	0
106	0	666.97	0.146	0	0	0.7619	83.238	0	0.12744	0.0030631	9.5168	0.0040812	0
107	0	668.43	0.14522	0	0	0.85714	83.143	0	0.1269	0.0029947	9.3136	0.0039795	0
108	0	669.86	0.14447	0	0	0.85714	83.143	0	0.12638	0.0029284	9.1143	0.0038807	0
109	0	671.27	0.14373	0	0	0.90476	83.095	0	0.12586	0.0028646	8.9188	0.0037849	0
110	0	672.64	0.14302	0	0	0.95238	83.048	0	0.12536	0.0028034	8.7269	0.0036924	0
111	0	673.98	0.14232	0	0	0.95238	83.048	0	0.12488	0.002745	8.5386	0.0036035	0
112	0	675.3	0.14163	0	0	0.95238	83.048	0	0.1244	0.0026895	8.3539	0.0035177	0
113	0	676.59	0.14097	0	0	0.90476	83.095	0	0.12393	0.0026362	8.173	0.0034354	0
114	0	677.85	0.14032	0	0	0.95238	83.048	0	0.12347	0.0025852	7.9953	0.0033563	0
115	0	679.09	0.13968	0	0	1	83	0	0.12302	0.0025361	7.8212	0.0032803	0
116	0	680.3	0.13906	0	0	1	83	0	0.12258	0.0024887	7.6506	0.0032072	0
117	0	681.48	0.13845	0	0	1	83	0	0.12214	0.0024427	7.4835	0.0031365	0
118	0	682.64	0.13785	0	0	1	83	0	0.12172	0.0023983	7.3198	0.0030684	0
119	0	683.77	0.13727	0	0	1.0476	82.952	0	0.12131	0.0023553	7.1592	0.0030027	0
120	0	684.88	0.13671	0	0	1.0476	82.952	0	0.1209	0.0023132	7.0024	0.0029392	0
121	0	685.97	0.13615	0	0	1.0476	82.952	0	0.12051	0.0022708	6.8486	0.0028768	0
122	0	687.03	0.13561	0	0	1.0476	82.952	0	0.12013	0.0022281	6.6981	0.0028156	0
123	0	688.08	0.13509	0	0	1.1429	82.857	0	0.11975	0.0021874	6.5509	0.0027559	0
124	0	689.09	0.13457	0	0	1.1905	82.81	0	0.11939	0.0021488	6.4068	0.0026982	0
125	0	690.09	0.13408	0	0	1.2381	82.762	0	0.11904	0.0021134	6.2656	0.0026426	0
126	0	691.07	0.13359	0	0	1.2381	82.762	0	0.1187	0.0020825	6.1279	0.0025895	0
127	0	692.02	0.13312	0	0	1.2381	82.762	0	0.11837	0.0020567	5.993	0.0025401	0
128	0	692.95	0.13265	0	0	1.3333	82.667	0	0.11804	0.0020347	5.8612	0.0024942	0
129	0	693.87	0.1322	0	0	1.381	82.619	0	0.11772	0.0020153	5.7322	0.0024515	0
