-40	0.069845	0.15275
-35	0.098838	0.2517
-30	0.15545	0.3184
-25	0.22176	0.3859
-20	0.33889	0.48012
-15	0.50352	0.58105
-10	0.68599	0.69213
-5	0.86848	0.78595
0	0.99599	0.86336
5	1	0.91317
10	0.96625	0.9478
15	0.86923	0.96503
20	0.72784	0.98538
25	0.58683	0.99649
30	0.45532	1
35	0.34487	0.99026
40	0.26841	0.96003
45	0.21316	0.89544
50	0.17269	0.79528
55	0.1446	0.66993
60	0.11506	0.51284
